Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/,"1,573","1,146",0:01:15,713,34.36%,26.51%,2017-01-01,Home
/,"1,705","1,337",0:01:12,879,35.65%,30.97%,2017-02-01,Home
/,"2,073","1,490",0:01:04,944,35.28%,28.27%,2017-03-01,Home
/,"1,734","1,254",0:01:14,800,39.20%,31.14%,2017-04-01,Home
/,"1,642","1,277",0:01:02,808,37.92%,30.51%,2017-05-01,Home
/,"1,458","1,081",0:01:18,699,34.48%,28.46%,2017-06-01,Home
/,"1,670","1,222",0:01:17,711,38.26%,25.87%,2017-07-01,Home
/,"1,711","1,264",0:01:10,832,40.60%,29.69%,2017-08-01,Home
/,"1,089",830,0:01:07,528,37.31%,30.30%,2017-09-01,Home
/,"1,305",976,0:01:36,653,34.05%,28.89%,2017-10-01,Home
/,"1,657","1,135",0:01:37,749,31.47%,26.07%,2017-11-01,Home
/,"1,084",768,0:01:20,523,32.50%,24.82%,2017-12-01,Home
/?customize_changeset_uuid=16dce061-b8c8-40be-9f4c-89bca4659b46&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,1,100.00%,100.00%,2017-12-01,Exclude
/?customize_changeset_uuid=1c0f2796-a61a-4add-a3a1-b402f1884d22&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:09,0,0.00%,0.00%,2017-08-01,Exclude
/?customize_changeset_uuid=73f7415d-594f-4262-9edf-82928cf49d6c&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:48,0,0.00%,0.00%,2017-02-01,Exclude
/?customize_changeset_uuid=7870d8d0-1476-4293-b659-ff0830111218&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2017-06-01,Exclude
/?customize_changeset_uuid=78966c18-b93e-4ec6-aa1d-ff9dc2cdafbb&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:04:03,0,0.00%,0.00%,2017-03-01,Exclude
/?customize_changeset_uuid=81676ddb-e66d-4889-9f49-7918fe5ea977&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2017-03-01,Exclude
/?customize_changeset_uuid=a06e8dac-e8ce-419a-a3f8-7fcae2d49f59&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,1,100.00%,100.00%,2017-12-01,Exclude
/?customize_changeset_uuid=b4521592-7198-43b3-a085-1c4b2123092c&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:48,0,0.00%,0.00%,2017-05-01,Exclude
/?customize_changeset_uuid=c33c09ec-af8a-47fe-8d2e-b90eb9bacabe&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:59,0,0.00%,0.00%,2017-03-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:50,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-1,1,1,0:00:15,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-11,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-12,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-15,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-16,1,1,0:00:04,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-17,1,1,0:00:06,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-18,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-19,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-2,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-20,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-21,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-22,1,1,0:00:13,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-23,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-24,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-25,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-26,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-27,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-28,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-29,1,1,0:00:10,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-3,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-30,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-31,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-32,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-33,1,1,0:00:15,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-34,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-35,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-36,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-37,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-38,1,1,0:00:05,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-39,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-4,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-40,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-41,1,1,0:00:16,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-42,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-43,1,1,0:00:03,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-44,1,1,0:00:07,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-45,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-46,1,1,0:00:02,0,0.00%,0.00%,2017-06-01,Exclude
/?customize_changeset_uuid=d5a7b3f4-983c-4d80-b571-250837b2ae18&customize_theme=aurora&customize_messenger_channel=preview-47,1,1,0:00:01,0,0.00%,0.00%,2017-06-01,Exclude
