Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/,690,603,0:01:08,570,48.42%,46.38%,2019-01-01,Home
/,734,627,0:01:01,581,47.16%,43.87%,2019-02-01,Home
/,689,593,0:01:00,565,47.61%,46.44%,2019-03-01,Home
/,612,514,0:00:47,478,47.07%,43.30%,2019-04-01,Home
/,571,523,0:00:58,499,52.91%,51.66%,2019-05-01,Home
/,636,569,0:00:59,546,66.48%,61.64%,2019-06-01,Home
/,690,577,0:01:13,544,57.35%,49.28%,2019-07-01,Home
/,797,715,0:01:01,656,57.32%,54.08%,2019-08-01,Home
/,742,632,0:00:50,578,52.42%,48.65%,2019-09-01,Home
/,859,724,0:01:08,660,48.71%,44.35%,2019-10-01,Home
/,842,700,0:01:02,638,50.78%,45.49%,2019-11-01,Home
/,626,554,0:01:16,517,54.26%,50.96%,2019-12-01,Home
"/, last access: 29 October 2018",2,1,0:00:03,1,0.00%,50.00%,2019-02-01,Home
/?customize_changeset_uuid=0e7c5369-c4bd-4fb6-9384-9e76acf34c9c&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2019-11-01,Exclude
/?customize_changeset_uuid=10c9988e-4a48-438e-b1ea-3a0ed5f6358b&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:52,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=13ebf467-ba1a-4897-abaf-d97534b87aac&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:19,0,0.00%,0.00%,2019-11-01,Exclude
/?customize_changeset_uuid=4807bf97-3232-4510-9370-7902e8ae3642&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:58,1,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=48b5d3a0-5c42-4c9a-ac47-d0a191b9d8a7&customize_theme=aurora&customize_messenger_channel=preview-0,4,1,0:00:08,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=59c68f74-513a-40fd-88e7-a34d3081dafd&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:17,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=59c68f74-513a-40fd-88e7-a34d3081dafd&customize_theme=aurora&customize_messenger_channel=preview-4,1,1,0:00:30,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=5a3cfd58-5442-4556-8477-c87ff67ba7af&customize_theme=aurora&customize_messenger_channel=preview-0,2,1,0:00:18,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=623c02fc-2665-42ca-b63a-e9e1f57d405e&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:02:53,0,0.00%,0.00%,2019-11-01,Exclude
/?customize_changeset_uuid=72219fbe-bac8-40ba-a8d5-ad13213ef177&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:19:55,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=73e5655f-460a-4fee-9339-6ca80b527c31&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:16,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=752c410e-4a7a-4d7b-806a-6c5a9de60191&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:00,0,0.00%,100.00%,2019-11-01,Exclude
/?customize_changeset_uuid=75e0c163-a593-4857-89d3-aa4c08c2c252&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:18,0,0.00%,0.00%,2019-10-01,Exclude
/?customize_changeset_uuid=817c4261-682f-4b84-8864-1b7c3a6268d0&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:50,0,0.00%,0.00%,2019-10-01,Exclude
