Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/?customize_changeset_uuid=d5aaeac8-45ce-4342-bd21-e912e4c05a6c&customize_theme=aurora&customize_messenger_channel=preview-1&customize_autosaved=on,1,1,0:00:16,0,0.00%,0.00%,2018-10-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:23,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-1,1,1,0:00:09,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-2,1,1,0:00:02,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-3,1,1,0:00:02,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-4,1,1,0:00:02,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=d61538cd-e0a8-4c7d-95c6-bb30f4df4d0c&customize_theme=aurora&customize_messenger_channel=preview-5,1,1,0:00:10,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=de13235a-2971-431f-9e53-43f13ae28b15&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:01:28,0,0.00%,0.00%,2018-05-01,Exclude
/?customize_changeset_uuid=f101a0a1-5ba7-4af7-8fcd-276a4928fd9e&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:03,0,0.00%,0.00%,2018-08-01,Exclude
/?customize_changeset_uuid=f3cb4511-9902-4566-bc4b-247d1e0a7c8a&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:38,0,0.00%,0.00%,2018-10-01,Exclude
/?customize_changeset_uuid=f3cb4511-9902-4566-bc4b-247d1e0a7c8a&customize_theme=aurora&customize_messenger_channel=preview-1&customize_autosaved=on,1,1,0:00:08,0,0.00%,0.00%,2018-10-01,Exclude
/?fbclid=IwAR0TDj824o8vbpxIM8QRLlYzmJZwFuMRl-E9l2sl3h89VoAhhqPF_jzPpGE,1,1,0:01:55,1,0.00%,0.00%,2018-12-01,Dataset
/?fbclid=IwAR0V5AaAwAuSsUJxw18bOn8jmO6pUAXogrI9IgcHF_s38GhS0a2il8veG8Q,1,1,0:00:00,1,100.00%,100.00%,2018-12-01,Dataset
/?fbclid=IwAR23hkxRjNjO8grRnnK35RrTMROuTI7tVTO7n0qxWl14ayKtWeUyYZXLY0E,1,1,0:00:00,1,100.00%,100.00%,2018-12-01,Dataset
/?fbclid=IwAR2eoiVBZqiLwrgPG8CwJCLruyXyVyBaf7E3BPT--J18wMNP8rfJO4iGwE0,1,1,0:00:00,1,100.00%,100.00%,2018-12-01,Dataset
/?fbclid=IwAR2j38YZZ8W9BRdlX0gt35P0Cq7DpVjS1xnY-sUHloRmevnrE_8Se0gEqWY,1,1,0:00:12,1,0.00%,0.00%,2018-12-01,Dataset
/?fbclid=IwAR2O76KBvLkmZsnFuwzhSLJ9dTipE1XE3cStWvQY2vsslrwQiA9e3MVH-go,1,1,0:00:00,1,100.00%,100.00%,2018-12-01,Dataset
/?fbclid=IwAR38VxOIQAeZYLUpX6e_SaVQhF9twaKhxOZ38LcD55DDgXm6RFM1cE5WiO8,1,1,0:00:00,1,100.00%,100.00%,2018-12-01,Dataset
