Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/,876,724,0:01:04,657,54.34%,46.92%,2020-01-01,Home
/,935,780,0:00:57,690,49.42%,43.21%,2020-02-01,Home
/,847,712,0:00:52,620,46.20%,41.09%,2020-03-01,Home
/,"1,105",877,0:01:08,769,41.09%,35.20%,2020-04-01,Home
/,"1,010",844,0:01:04,742,44.73%,39.41%,2020-05-01,Home
/,"1,030",885,0:01:04,789,46.64%,43.20%,2020-06-01,Home
/,853,742,0:00:56,674,43.62%,39.16%,2020-07-01,Home
/,808,683,0:01:01,617,46.60%,41.83%,2020-08-01,Home
/ <https:/arcticdata.io/,11,11,0:00:00,11,100.00%,100.00%,2020-02-01,Home
/ catalog/,1,1,0:00:10,1,0.00%,0.00%,2020-05-01,Cathome
/ catalog/urn:uuid:6624e413- 3681-4547-8c60-9418eebb069f,1,1,0:00:07,0,0.00%,0.00%,2020-05-01,Cathome
/?customize_changeset_uuid=0edd2d50-97b0-49f5-8931-4a2974f293e2&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:38,0,0.00%,0.00%,2020-07-01,exclude
/?customize_changeset_uuid=0edd2d50-97b0-49f5-8931-4a2974f293e2&customize_theme=aurora&customize_messenger_channel=preview-1&customize_autosaved=on,1,1,0:00:30,0,0.00%,0.00%,2020-07-01,exclude
/?customize_changeset_uuid=4b821bcb-05ba-4d6f-8280-c1eee9a6dbdd&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:39,0,0.00%,0.00%,2020-06-01,exclude
/?customize_changeset_uuid=768b313f-6473-48ce-92de-db85c124c457&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:13,0,0.00%,0.00%,2020-02-01,exclude
/?customize_changeset_uuid=803d37b4-7ea1-4616-9117-210a6fc54821&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:43,0,0.00%,0.00%,2020-06-01,exclude
/?customize_changeset_uuid=8b33478c-cc29-4506-a685-72c57fdb8226&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:12:07,0,0.00%,0.00%,2020-02-01,exclude
/?customize_changeset_uuid=ba9ed816-2a57-4df7-b214-1ae629c8a3cc&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:02:30,0,0.00%,0.00%,2020-02-01,exclude
/?customize_changeset_uuid=c3c0378a-354f-4568-9fdf-e7fb023ba3a8&customize_theme=aurora&customize_messenger_channel=preview-0,1,1,0:00:26,0,0.00%,0.00%,2020-06-01,exclude
/?fbclid=IwAR08d3yMx48TshV7saLeyOxZGa5eQtiEAqamxuZVASvw2gooFjNkae4s6dA,1,1,0:00:00,1,100.00%,100.00%,2020-02-01,home
/?fbclid=IwAR0eXTXC97bFzJobCJ3bJPzDyd_aPQ5GlDEGCE5wwNFdSIHTGKbpzSLmHYQ,1,1,0:00:00,1,100.00%,100.00%,2020-01-01,home
/?fbclid=IwAR0jjsd3Ob4YdlZfALiU6Sh8YiTsjU4IinZGJS87bTYCz1QTdsWcy9px12o,1,1,0:00:00,1,100.00%,100.00%,2020-08-01,home
/?fbclid=IwAR14pexGiOMY48xYXXclimh6hAqjfwhOIDHmPllY_vGKcOJmBcT04GT7uvg,1,1,0:00:25,1,0.00%,0.00%,2020-04-01,home
