Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Date,Category
/about/,44,38,0:03:45,8,62.50%,34.09%,2016-12-01,About
/about/?preview_id=16&preview_nonce=06ac55191b&preview=true,2,1,0:01:12,0,0.00%,0.00%,2016-03-01,Exclude
/about/?preview_id=16&preview_nonce=a39b770ca1&preview=true,7,2,0:02:54,1,0.00%,14.29%,2016-03-01,Exclude
/about/cadis/netcdf-conversions.htm,2,1,0:00:09,1,0.00%,50.00%,2016-04-01,About
/about/cadis/realtime.htm,1,1,0:00:00,1,100.00%,100.00%,2016-06-01,About
/about/cadis/realtime.htm,2,1,0:01:53,1,0.00%,0.00%,2016-10-01,About
/about/cadis/realtime.htm,2,1,0:01:31,1,0.00%,0.00%,2016-12-01,About
/about/cadis/related-links.htm,1,1,0:00:00,1,100.00%,100.00%,2016-04-01,About
/about/cadis/related-links.htm,1,1,0:00:00,1,100.00%,100.00%,2016-10-01,About
/ac/root/lookupUser.htm?identifier=4187bc9f-f868-11e5-9ab1-00c0f03d5b7c,1,1,0:03:30,1,0.00%,0.00%,2016-04-01,Exclude
/api,1,1,0:00:00,0,0.00%,100.00%,2016-04-01,API
/api,4,4,0:09:00,0,0.00%,25.00%,2016-05-01,API
/api,3,2,0:05:46,0,0.00%,33.33%,2016-07-01,API
/api,1,1,0:00:13,0,0.00%,0.00%,2016-08-01,API
/api,1,1,0:00:00,1,100.00%,100.00%,2016-09-01,API
/api,2,1,0:04:32,0,0.00%,50.00%,2016-12-01,API
/api.nsf.gov/services/v1/awards.html,2,1,0:00:47,1,0.00%,50.00%,2016-07-01,API
/arctic-wp/,4,2,0:00:09,2,0.00%,25.00%,2016-03-01,Exclude
/arctic-wp/,16,6,0:03:55,5,20.00%,25.00%,2016-04-01,Exclude
/arctic-wp/,1,1,0:00:00,1,100.00%,100.00%,2016-06-01,Exclude
/arctic-wp/category/news/,5,2,0:04:29,0,0.00%,20.00%,2016-04-01,Exclude
/arctic-wp/q-a/,2,1,0:01:46,0,0.00%,50.00%,2016-03-01,Exclude
/arctic-wp/q-a/,14,3,0:05:35,1,0.00%,7.14%,2016-04-01,Exclude
/arctic/,10,1,0:04:47,1,0.00%,10.00%,2016-08-01,Exclude
/arctic/wp-admin/customize.php?url=http://localhost:9999/arctic/,1,1,0:00:01,0,0.00%,0.00%,2016-08-01,Exclude
/blah,5,2,0:01:15,1,0.00%,20.00%,2016-03-01,Exclude
/catalog [R],2,1,0:01:01,0,0.00%,0.00%,2016-03-01,Cathome
/catalog/,1,1,0:00:00,0,0.00%,100.00%,2016-04-01,Cathome
/catalog/ - view/doi:10.5065/D64F1NS6,1,1,0:00:11,1,0.00%,0.00%,2016-09-01,Cathome
"/catalog/"" /l ""view/urn:uuid:92796d5c-bf70-4822-9a36-e3730f8ac193",1,1,0:00:21,1,0.00%,0.00%,2016-11-01,Cathome
/catalog/#data/query=keywords:CRYOSPHERE,1,1,0:00:59,0,0.00%,0.00%,2016-04-01,Cathome
/catalog/#view/arctic-data.9567.1,2,2,0:00:06,1,100.00%,50.00%,2016-10-01,Dataset
/catalog/#view/arctic-data.9583.1,2,1,0:00:09,1,0.00%,50.00%,2016-10-01,Dataset
/catalog/#view/doi:10.18739/A26M1M,3,2,0:00:13,1,0.00%,33.33%,2016-10-01,Dataset
/catalog/#view/doi:10.18739/A2TM16,2,2,0:00:16,1,0.00%,50.00%,2016-11-01,Dataset
