pid,formatId,dateUploaded,datasource,scoreOverall,scoreFindable,scoreAccessible,scoreInteroperable,scoreReusable,obsoletes,obsoletedBy,sequenceId
arctic-data.1575.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-11T23:00:00.000Z,urn:node:ARCTIC,0.58536583,0.87,0.29,0.67,0.3,,arctic-data.1575.2,arctic-data.1575.1
arctic-data.1577.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-11T23:00:00.000Z,urn:node:ARCTIC,0.58536583,0.87,0.29,0.67,0.3,,arctic-data.1577.2,arctic-data.1577.1
arctic-data.3950.3,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,arctic-data.3950.2,arctic-data.3950.4,arctic-data.3950.1
arctic-data.3948.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.4871795,0.69,0.29,0.67,0.2,,arctic-data.3948.2,arctic-data.3948.1
arctic-data.3952.4,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,arctic-data.3952.3,doi:10.18739/A2Q648,arctic-data.3952.1
arctic-data.3954.2,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.5641026,0.85,0.29,0.67,0.3,arctic-data.3954.1,arctic-data.3954.3,arctic-data.3954.1
arctic-data.3952.3,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.5641026,0.85,0.29,0.67,0.3,arctic-data.3952.2,arctic-data.3952.4,arctic-data.3952.1
arctic-data.3942.2,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.4871795,0.69,0.29,0.67,0.2,arctic-data.3942.1,arctic-data.3942.3,arctic-data.3942.1
arctic-data.3952.2,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.5641026,0.85,0.29,0.67,0.3,arctic-data.3952.1,arctic-data.3952.3,arctic-data.3952.1
arctic-data.3950.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.4871795,0.69,0.29,0.67,0.2,,arctic-data.3950.2,arctic-data.3950.1
arctic-data.3952.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.4871795,0.69,0.29,0.67,0.2,,arctic-data.3952.2,arctic-data.3952.1
arctic-data.3954.1,eml://ecoinformatics.org/eml-2.1.1,2016-04-21T23:00:00.000Z,urn:node:ARCTIC,0.4871795,0.69,0.29,0.67,0.2,,arctic-data.3954.2,arctic-data.3954.1
arctic-data.6183.1,eml://ecoinformatics.org/eml-2.1.1,2016-05-05T23:00:00.000Z,urn:node:ARCTIC,0.575,0.93,0.29,0.67,0.2,,doi:10.18739/A2R937,arctic-data.6183.1
urn:uuid:dd5c4649-8cc7-4b44-95dc-66e7d430ef6e,http://www.isotc211.org/2005/gmd,2016-05-02T21:49:04.713Z,urn:node:ARCTIC,0.39473686,0.58,0.43,0.33,0.2,,,urn:uuid:dd5c4649-8cc7-4b44-95dc-66e7d430ef6e
arctic-data.6185.2,eml://ecoinformatics.org/eml-2.1.1,2016-05-09T23:00:00.000Z,urn:node:ARCTIC,0.5365854,0.8,0.29,0.67,0.2,arctic-data.6185.1,urn:uuid:0ac8f413-6f0e-415c-8d57-28d42387ddd9,arctic-data.6185.1
arctic-data.6185.1,eml://ecoinformatics.org/eml-2.1.1,2016-05-09T23:00:00.000Z,urn:node:ARCTIC,0.5365854,0.8,0.29,0.67,0.2,,arctic-data.6185.2,arctic-data.6185.1
arctic-data.6236.4,eml://ecoinformatics.org/eml-2.1.1,2016-05-24T23:00:00.000Z,urn:node:ARCTIC,0.51282054,0.69,0.29,0.67,0.3,doi:10.18739/A2ND2Z,urn:uuid:829a905f-2702-44cc-aba1-5b1bd9187388,arctic-data.6236.1
arctic-data.7732.3,eml://ecoinformatics.org/eml-2.1.1,2016-06-06T23:00:00.000Z,urn:node:ARCTIC,0.51282054,0.77,0.29,0.67,0.2,arctic-data.7732.2,doi:10.18739/A2C65J,arctic-data.7732.1
arctic-data.7843.1,eml://ecoinformatics.org/eml-2.1.1,2016-06-21T23:00:00.000Z,urn:node:ARCTIC,0.39473686,0.69,0.43,0.12,0.2,,doi:10.18739/A25060,arctic-data.7843.1
arctic-data.7842.1,eml://ecoinformatics.org/eml-2.1.1,2016-06-21T23:00:00.000Z,urn:node:ARCTIC,0.36842105,0.69,0.29,0.12,0.2,,doi:10.18739/A28S8M,arctic-data.7842.1
arctic-data.7837.1,eml://ecoinformatics.org/eml-2.1.1,2016-06-20T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.43,0.67,0.2,,doi:10.18739/A2K93P,arctic-data.7837.1
arctic-data.9414.3,eml://ecoinformatics.org/eml-2.1.1,2016-07-29T23:00:00.000Z,urn:node:ARCTIC,0.36842105,0.62,0.29,0.12,0.3,arctic-data.9414.2,doi:10.18739/A2M37F,arctic-data.9414.1
arctic-data.9414.2,eml://ecoinformatics.org/eml-2.1.1,2016-07-29T23:00:00.000Z,urn:node:ARCTIC,0.36842105,0.62,0.29,0.12,0.3,arctic-data.9414.1,arctic-data.9414.3,arctic-data.9414.1
arctic-data.9422.4,eml://ecoinformatics.org/eml-2.1.1,2016-08-04T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,arctic-data.9422.3,doi:10.18739/A20W85,arctic-data.9422.1
arctic-data.9422.3,eml://ecoinformatics.org/eml-2.1.1,2016-08-04T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,arctic-data.9422.2,arctic-data.9422.4,arctic-data.9422.1
arctic-data.9422.1,eml://ecoinformatics.org/eml-2.1.1,2016-08-04T23:00:00.000Z,urn:node:ARCTIC,0.575,0.86,0.29,0.67,0.3,,arctic-data.9422.2,arctic-data.9422.1
urn:uuid:7140ac79-2269-41ac-a968-c56b3c197447,eml://ecoinformatics.org/eml-2.1.1,2016-08-10T18:21:25.951Z,urn:node:ARCTIC,0.46153846,0.86,0.29,0.12,0.3,urn:uuid:c0cc961c-8ff8-4e9e-9533-b7c19168e16a,urn:uuid:d3abcb70-546d-40f6-a621-f2895057d1e6,
arctic-data.9431.3,eml://ecoinformatics.org/eml-2.1.1,2016-08-05T23:00:00.000Z,urn:node:ARCTIC,0.6,0.93,0.29,0.67,0.3,arctic-data.9431.2,arctic-data.9431.4,arctic-data.9431.1
arctic-data.9499.1,eml://ecoinformatics.org/eml-2.1.1,2016-08-25T23:00:00.000Z,urn:node:ARCTIC,0.6,0.86,0.29,0.67,0.4,,arctic-data.9499.2,arctic-data.9499.1
arctic-data.9499.3,eml://ecoinformatics.org/eml-2.1.1,2016-08-25T23:00:00.000Z,urn:node:ARCTIC,0.6,0.86,0.29,0.67,0.4,arctic-data.9499.2,urn:uuid:9b53466a-6e33-4974-bb9e-67040b2e0be2,arctic-data.9499.1
arctic-data.9499.2,eml://ecoinformatics.org/eml-2.1.1,2016-08-25T23:00:00.000Z,urn:node:ARCTIC,0.6,0.86,0.29,0.67,0.4,arctic-data.9499.1,arctic-data.9499.3,arctic-data.9499.1
